Emp_ID,Employee,Department,Experience_Years,Monthly_Salary,Performance_Score,Join_Date,Joined_Year,Joining_Month,Joining_day,Employee_work,Rank
201,Raj,IT,3.0,45000.0,78.0,2021-05-10,2021,5,10,Good,8.0
202,Simran,HR,8.0,60000.0,88.0,2018-03-15,2018,3,15,Excellent,4.0
203,Amit,IT,6.888888888888889,52000.0,79.4,2020-07-01,2020,7,1,Good,7.0
204,Neha,Finance,5.0,60250.0,92.0,2019-11-20,2019,11,20,Excellent,3.0
205,Karan,HR,6.888888888888889,58000.0,60.0,2022-01-05,2022,1,5,Good,10.0
206,Pooja,IT,2.0,47000.0,81.0,2021-09-18,2021,9,18,Excellent,6.0
207,Vikas,Finance,12.0,60250.0,95.0,2015-06-30,2015,6,30,Excellent,2.0
208,Anjali,HR,6.0,60250.0,45.0,2019-04-12,2019,4,12,Midium,11.0
209,Rohit,Finance,15.0,90000.0,85.0,2016-08-25,2016,8,25,Excellent,5.0
210,Mehul,IT,6.888888888888889,60250.0,70.0,2023-02-10,2023,2,10,Good,9.0
211,Ira,HR,4.0,55000.0,79.4,2020-10-05,2020,10,5,Good,7.0
212,Suresh,Finance,7.0,75000.0,100.0,2017-12-01,2017,12,1,Excellent,1.0
